date,price,source
2019-02-06,1.0144929885864258,Yahoo Finance
2019-02-07,1.0078120231628418,Yahoo Finance
2019-02-08,1.0157829523086548,Yahoo Finance
2019-02-09,1.0090529918670654,Yahoo Finance
2019-02-10,1.0130469799041748,Yahoo Finance
2019-02-11,1.0170520544052124,Yahoo Finance
2019-02-12,1.0210909843444824,Yahoo Finance
2019-02-13,1.015125036239624,Yahoo Finance
2019-02-14,1.0127240419387817,Yahoo Finance
2019-02-15,1.0121740102767944,Yahoo Finance
2019-02-16,1.0132750272750854,Yahoo Finance
2019-02-17,1.012742042541504,Yahoo Finance
2019-02-18,1.0129209756851196,Yahoo Finance
2019-02-19,1.0129640102386475,Yahoo Finance
2019-02-20,1.0180859565734863,Yahoo Finance
2019-02-21,1.0151499509811401,Yahoo Finance
2019-02-22,1.0143840312957764,Yahoo Finance
2019-02-23,1.0101319551467896,Yahoo Finance
2019-02-24,1.0167839527130127,Yahoo Finance
2019-02-25,1.016139030456543,Yahoo Finance
2019-02-26,1.0139460563659668,Yahoo Finance
2019-02-27,1.0148229598999023,Yahoo Finance
2019-02-28,1.0147229433059692,Yahoo Finance
2019-03-01,1.0110889673233032,Yahoo Finance
2019-03-02,1.012205958366394,Yahoo Finance
2019-03-03,1.0144089460372925,Yahoo Finance
2019-03-04,1.0138460397720337,Yahoo Finance
2019-03-05,1.015887975692749,Yahoo Finance
2019-03-06,1.0134450197219849,Yahoo Finance
2019-03-07,1.013092041015625,Yahoo Finance
2019-03-08,1.0149070024490356,Yahoo Finance
2019-03-09,1.0120240449905396,Yahoo Finance
2019-03-10,1.0125839710235596,Yahoo Finance
2019-03-11,1.0134689807891846,Yahoo Finance
2019-03-12,1.0115300416946411,Yahoo Finance
2019-03-13,1.01282799243927,Yahoo Finance
2019-03-14,1.0168319940567017,Yahoo Finance
2019-03-15,1.015254020690918,Yahoo Finance
2019-03-16,1.0146280527114868,Yahoo Finance
2019-03-17,1.0144670009613037,Yahoo Finance
2019-03-18,1.0156630277633667,Yahoo Finance
2019-03-19,1.018193006515503,Yahoo Finance
2019-03-20,1.0138989686965942,Yahoo Finance
2019-03-21,1.0123590230941772,Yahoo Finance
2019-03-22,1.0092389583587646,Yahoo Finance
2019-03-23,1.0129300355911255,Yahoo Finance
2019-03-24,1.01111900806427,Yahoo Finance
2019-03-25,1.0149860382080078,Yahoo Finance
2019-03-26,1.0155309438705444,Yahoo Finance
2019-03-27,1.0162630081176758,Yahoo Finance
2019-03-28,1.014307975769043,Yahoo Finance
2019-03-29,1.0021870136260986,Yahoo Finance
2019-03-30,1.0031219720840454,Yahoo Finance
2019-03-31,1.0017050504684448,Yahoo Finance
2019-04-01,1.0038429498672485,Yahoo Finance
2019-04-02,0.9980679750442505,Yahoo Finance
2019-04-03,0.9982560276985168,Yahoo Finance
2019-04-04,1.002431035041809,Yahoo Finance
2019-04-05,1.0000449419021606,Yahoo Finance
2019-04-06,1.00216805934906,Yahoo Finance
2019-04-07,1.0030900239944458,Yahoo Finance
2019-04-08,0.9989590048789978,Yahoo Finance
2019-04-09,0.9993559718132019,Yahoo Finance
2019-04-10,1.0007950067520142,Yahoo Finance
2019-04-11,0.9999790191650391,Yahoo Finance
2019-04-12,0.9998229742050171,Yahoo Finance
2019-04-13,1.0011910200119019,Yahoo Finance
2019-04-14,0.9998970031738281,Yahoo Finance
2019-04-15,1.0007649660110474,Yahoo Finance
2019-04-16,1.004140019416809,Yahoo Finance
2019-04-17,1.0003629922866821,Yahoo Finance
2019-04-18,1.0002609491348267,Yahoo Finance
2019-04-19,1.0012270212173462,Yahoo Finance
2019-04-20,1.002195954322815,Yahoo Finance
2019-04-21,1.0003670454025269,Yahoo Finance
2019-04-22,1.0002219676971436,Yahoo Finance
2019-04-23,1.001507043838501,Yahoo Finance
2019-04-24,1.001541018486023,Yahoo Finance
2019-04-25,1.008146047592163,Yahoo Finance
2019-04-26,1.0207970142364502,Yahoo Finance
2019-04-27,1.0172770023345947,Yahoo Finance
2019-04-28,1.0207220315933228,Yahoo Finance
2019-04-29,1.0182349681854248,Yahoo Finance
2019-04-30,1.0138590335845947,Yahoo Finance
2019-05-01,1.0132839679718018,Yahoo Finance
2019-05-02,1.0178200006484985,Yahoo Finance
